time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-01-21T15:43:50.996Z,52.0757,-170.1377,35.33,4.4,mb,,141,0.763,0.81,us,us7000gfwf,2022-04-01T17:40:37.040Z,"129 km SW of Nikolski, Alaska",earthquake,7.6,8,0.097,31,reviewed,us,us
2022-01-21T15:17:32.587Z,54.5323,-163.2824,18.62,2.6,ml,,204,0.316,0.42,us,us7000gl29,2022-04-01T17:40:41.040Z,"36 km SSE of False Pass, Alaska",earthquake,2.2,5.3,0.128,8,reviewed,us,us
2022-01-21T14:32:29.070Z,54.0792,-163.2055,18.88,2.7,ml,,214,0.711,0.71,us,us7000gl28,2022-04-01T17:40:41.040Z,"87 km S of False Pass, Alaska",earthquake,4.3,10.8,0.105,12,reviewed,us,us
2022-01-21T13:57:26.736Z,54.084,-163.2225,23.93,2.7,ml,,244,0.703,0.84,us,us7000gl27,2022-04-01T17:40:41.040Z,"86 km S of False Pass, Alaska",earthquake,5.3,15.9,0.148,6,reviewed,us,us
2022-01-20T18:54:52.213Z,52.8604,-167.5652,35,3,ml,,234,0.589,0.54,us,us7000gjqh,2022-04-01T17:40:39.040Z,"87 km E of Nikolski, Alaska",earthquake,3.9,2,0.128,8,reviewed,us,us
2022-01-20T17:23:30.091Z,53.0371,-170.6434,121.47,4.6,mb,,104,0.501,1.05,us,us7000gdkc,2022-04-01T17:40:22.040Z,"120 km W of Nikolski, Alaska",earthquake,5.4,4.4,0.031,309,reviewed,us,us
2022-01-20T17:18:28.730Z,57.0743,-155.0313,35,2.7,ml,,280,0.585,1.15,us,us7000gdkh,2022-04-01T17:40:22.040Z,"54 km WNW of Akhiok, Alaska",earthquake,5.7,2,0.057,40,reviewed,us,us
2022-01-20T17:05:41.780Z,55.3468,-162.1311,137.38,3.3,ml,,123,0.132,0.66,us,us7000gdka,2022-04-01T17:40:21.040Z,"33 km NNE of King Cove, Alaska",earthquake,6.8,4.9,0.081,20,reviewed,us,us
2022-01-20T12:09:50.383Z,54.498,-163.2482,13.12,2.6,ml,,204,0.353,0.43,us,us7000gjqe,2022-04-01T17:40:39.040Z,"41 km SSE of False Pass, Alaska",earthquake,2.1,8.3,0.128,8,reviewed,us,us
2022-01-20T11:37:14.528Z,56.1216,-156.1809,47.2,3.6,ml,,,,0.68,ak,ak022x9intx,2022-04-01T17:40:21.040Z,"139 km E of Chignik, Alaska",earthquake,,3.9,,,reviewed,ak,ak
2022-01-20T10:06:51.488Z,54.7705,-160.1099,22.8,3.1,ml,,196,0.307,0.4,us,us7000gjrx,2022-04-01T17:40:39.040Z,"67 km SSE of Sand Point, Alaska",earthquake,5.4,12.3,0.115,10,reviewed,us,us
